"Lake","Gear","Set","Lat","Lon","Date","Species","Fork_length","Weight","Sex","Mark","Floy","PIT","Recap","cap_label","Fish_notes","event_num","lake_combined","stat","grouping","corrected_length","class","year_cap","year_recap"
"Round","ANG",38,63.05638,-145.98165,2023-06-20,"LT","362",NA,NA,"Gray Floy 18100; PIT OC38","18100","OC38",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",362,NA,NA,NA
"Round","ANG",143,63.06138,-145.98435,2023-06-27,"LT","384",NA,NA,"Gray Floy 18594; PIT 2828","18594","2828",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",384,NA,NA,NA
"Round","ANG",11,63.05544,-145.98283,2023-06-12,"LT","385",NA,NA,"Gray Floy 18016; PIT OBFO","18016","OBFO",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",385,NA,NA,NA
"Round","ANG",116,63.06063,-145.99291,2023-06-26,"LT","392",680,NA,"Gray Floy 18582; PIT 281F","18582","281F",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",392,NA,NA,NA
"Round","ANG",119,63.06114,-145.98535,2023-06-26,"LT","393",567,NA,"Gray Floy 18586; PIT 28O7","18586","28O7",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",393,NA,NA,NA
"Round","ANG",103,63.06127,-145.98447,2023-06-26,"LT","402",794,NA,"Gray Floy 18267; PIT 284A","18267","284A",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",402,NA,NA,NA
"Round","ANG",34,63.05603,-145.98186,2023-06-20,"LT","405",907,NA,"Gray Floy 18096; PIT OC44","18096","OC44",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",405,NA,NA,NA
"Round","ANG",16,63.05517,-145.99695,2023-06-12,"LT","409",NA,NA,"Gray Floy 18021; PIT OBE9","18021","OBE9",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",409,NA,NA,NA
"Round","ANG",104,63.06176,-145.98287,2023-06-26,"LT","409",1021,NA,"Gray Floy 18269; PIT 2838","18269","2838",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",409,NA,NA,NA
"Round","ANG",37,63.05638,-145.98165,2023-06-20,"LT","415",907,NA,"Gray Floy 18099; PIT OBE5","18099","OBE5",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",415,NA,NA,NA
"Round","ANG",12,63.05522,-145.98293,2023-06-12,"LT","420",NA,NA,"Gray Floy 18017; PIT OC14","18017","OC14",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",420,NA,NA,NA
"Round","ANG",9,63.05202,-145.99203,2023-06-12,"LT","443",NA,NA,"Gray Floy 18014; PIT OBFF","18014","OBFF",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",443,NA,NA,NA
"Round","ANG",13,63.05912,-145.98014,2023-06-12,"LT","449",NA,NA,"Gray Floy 18018; PIT OBEF","18018","OBEF",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",449,NA,NA,NA
"Round","ANG",140,63.06088,-145.99197,2023-06-27,"LT","452",1361,NA,"Gray Floy 18591; PIT 2851","18591","2851",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",452,NA,NA,NA
"Round","ANG",105,63.06005,-145.99452,2023-06-26,"LT","490",1474,NA,"Gray Floy 18270; PIT 2825","18270","2825",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",490,NA,NA,NA
"Round","ANG",146,63.06163,-145.98422,2023-06-27,"LT","512",1928,NA,"Gray Floy 18597; PIT 2849","18597","2849",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",512,NA,NA,NA
"Round","ANG",35,63.05603,-145.98186,2023-06-20,"LT","527",2155,NA,"Gray Floy 18097; PIT OC43","18097","OC43",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",527,NA,NA,NA
"Round","ANG",123,63.06147,-145.98478,2023-06-26,"LT","547",2155,NA,"Gray Floy 18590; PIT 2815","18590","2815",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",547,NA,NA,NA
"Shallow","ANG",73,63.07793,-145.95389,2023-06-19,"LT","332",NA,NA,"Gray Floy 18080; PIT OC1F","18080","OC1F",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",332,NA,NA,NA
"Shallow","ANG",24,63.0698,-145.9692,2023-06-17,"LT","389",680,NA,"Gray Floy 18548; PIT 1331","18548","1331",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",389,NA,NA,NA
"Shallow","ANG",43,63.07147,-145.97221,2023-06-18,"LT","400",680,NA,"Gray Floy 18502; PIT 134B","18502","134B",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",400,NA,NA,NA
"Shallow","ANG",65,63.07797,-145.95395,2023-06-19,"LT","405",907,NA,"Gray Floy 18072; PIT OBEA","18072","OBEA",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",405,NA,NA,NA
"Shallow","ANG",17,63.07074,-145.97447,2023-06-17,"LT","409",680,NA,"Gray Floy 18541; PIT 1302","18541","1302",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",409,NA,NA,NA
"Shallow","ANG",78,63.07715,-145.96431,2023-06-20,"LT","415",907,NA,"Gray Floy 19863; PIT 8585","19863","8585",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",415,NA,NA,NA
